[5], Coverage : 1.0
[5411], Coverage : 0.8837209302325582
[5431], Coverage : 0.8837209302325582
[5475], Coverage : 0.8837209302325582
[5479], Coverage : 0.8837209302325582
[5481], Coverage : 0.8837209302325582
[5489], Coverage : 0.8837209302325582
[5511], Coverage : 0.8837209302325582
[5525], Coverage : 0.8837209302325582
[5556], Coverage : 0.8837209302325582
[5557], Coverage : 0.8837209302325582
[5558], Coverage : 0.8837209302325582
[5564], Coverage : 0.8837209302325582
[5603], Coverage : 0.8837209302325582
[5675], Coverage : 0.8837209302325582
[5676], Coverage : 0.8837209302325582
[5786], Coverage : 0.8837209302325582
[5788], Coverage : 0.8837209302325582
[5801], Coverage : 0.8837209302325582
[5817], Coverage : 0.8837209302325582
[5823], Coverage : 0.8837209302325582
[5831], Coverage : 0.8837209302325582
[5846], Coverage : 0.8837209302325582
[5847], Coverage : 0.8837209302325582
[5848], Coverage : 0.8837209302325582
[5853], Coverage : 0.8837209302325582
[5862], Coverage : 0.8837209302325582
[5905], Coverage : 0.8837209302325582
[5929], Coverage : 0.8837209302325582
[5951], Coverage : 0.8837209302325582
[6037], Coverage : 0.8837209302325582
[6038], Coverage : 0.8837209302325582
[6045], Coverage : 0.8837209302325582
[6046], Coverage : 0.8837209302325582
[6069], Coverage : 0.8837209302325582
[6079], Coverage : 0.8837209302325582
[6086], Coverage : 0.8837209302325582
[6089], Coverage : 0.8837209302325582
[6102], Coverage : 0.8837209302325582
[6106], Coverage : 0.8837209302325582
[6144], Coverage : 0.8837209302325582
[6149], Coverage : 0.8837209302325582
[6150], Coverage : 0.8837209302325582
[6202], Coverage : 0.8837209302325582
[6223], Coverage : 0.8837209302325582
[6279], Coverage : 0.8837209302325582
[6307], Coverage : 0.8837209302325582
[6349], Coverage : 0.8837209302325582
[6505], Coverage : 0.8837209302325582
[6524], Coverage : 0.8837209302325582
[6545], Coverage : 0.8837209302325582
[6549], Coverage : 0.8837209302325582
[6550], Coverage : 0.8837209302325582
[6558], Coverage : 0.8837209302325582
[6577], Coverage : 0.8837209302325582
[6673], Coverage : 0.8837209302325582
[6722], Coverage : 0.8837209302325582
[6727], Coverage : 0.8837209302325582
[6737], Coverage : 0.8837209302325582
[6757], Coverage : 0.8837209302325582
[6760], Coverage : 0.8837209302325582
[6767], Coverage : 0.8837209302325582
[6772], Coverage : 0.8837209302325582
[6815], Coverage : 0.8837209302325582
[6816], Coverage : 0.8837209302325582
[6917], Coverage : 0.8837209302325582
[6926], Coverage : 0.8837209302325582
[6947], Coverage : 0.8837209302325582
[6948], Coverage : 0.8837209302325582
[6951], Coverage : 0.8837209302325582
[6975], Coverage : 0.8837209302325582
[6980], Coverage : 0.8837209302325582
[7008], Coverage : 0.8837209302325582
[7018], Coverage : 0.8837209302325582
[7035], Coverage : 0.8837209302325582
[7045], Coverage : 0.8837209302325582
[7056], Coverage : 0.8837209302325582
[7101], Coverage : 0.8837209302325582
[7105], Coverage : 0.8837209302325582
[7192], Coverage : 0.8837209302325582
[7193], Coverage : 0.8837209302325582
[7222], Coverage : 0.8837209302325582
[7244], Coverage : 0.8837209302325582
[7328], Coverage : 0.8837209302325582
[7355], Coverage : 0.8837209302325582
[7372], Coverage : 0.8837209302325582
[7419], Coverage : 0.8837209302325582
[7424], Coverage : 0.8837209302325582
[7538], Coverage : 0.8837209302325582
[7543], Coverage : 0.8837209302325582
[7577], Coverage : 0.8837209302325582
[7578], Coverage : 0.8837209302325582
[7580], Coverage : 0.8837209302325582
[7583], Coverage : 0.8837209302325582
[7621], Coverage : 0.8837209302325582
[7689], Coverage : 0.8837209302325582
[7690], Coverage : 0.8837209302325582
[7691], Coverage : 0.8837209302325582
[7713], Coverage : 0.8837209302325582
[7715], Coverage : 0.8837209302325582
[7717], Coverage : 0.8837209302325582
[7721], Coverage : 0.8837209302325582
[7723], Coverage : 0.8837209302325582
[7747], Coverage : 0.8837209302325582
[7760], Coverage : 0.8837209302325582
[7771], Coverage : 0.8837209302325582
[7788], Coverage : 0.8837209302325582
[7819], Coverage : 0.8837209302325582
[7825], Coverage : 0.8837209302325582
[7834], Coverage : 0.8837209302325582
[7849], Coverage : 0.8837209302325582
[7856], Coverage : 0.8837209302325582
[7875], Coverage : 0.8837209302325582
[7903], Coverage : 0.8837209302325582
[7925], Coverage : 0.8837209302325582
[7929], Coverage : 0.8837209302325582
[7932], Coverage : 0.8837209302325582
[7933], Coverage : 0.8837209302325582
[7966], Coverage : 0.8837209302325582
[8031], Coverage : 0.8837209302325582
[8043], Coverage : 0.8837209302325582
[8048], Coverage : 0.8837209302325582
[8060], Coverage : 0.8837209302325582
[8157], Coverage : 0.8837209302325582
[8160], Coverage : 0.8837209302325582
[8174], Coverage : 0.8837209302325582
[8193], Coverage : 0.8837209302325582
[8286], Coverage : 0.8837209302325582
[8356], Coverage : 0.8837209302325582
[8373], Coverage : 0.8837209302325582
[8385], Coverage : 0.8837209302325582
[8473], Coverage : 0.8837209302325582
[8485], Coverage : 0.8837209302325582
[8486], Coverage : 0.8837209302325582
[8519], Coverage : 0.8837209302325582
[8522], Coverage : 0.8837209302325582
[8539], Coverage : 0.8837209302325582
[8551], Coverage : 0.8837209302325582
[8555], Coverage : 0.8837209302325582
[8556], Coverage : 0.8837209302325582
[8602], Coverage : 0.8837209302325582
[8680], Coverage : 0.8837209302325582
[8683], Coverage : 0.8837209302325582
[8690], Coverage : 0.8837209302325582
[8771], Coverage : 0.8837209302325582
[8783], Coverage : 0.8837209302325582
[8836], Coverage : 0.8837209302325582
[8855], Coverage : 0.8837209302325582
[8875], Coverage : 0.8837209302325582
[8938], Coverage : 0.8837209302325582
[8965], Coverage : 0.8837209302325582
[8972], Coverage : 0.8837209302325582
[8995], Coverage : 0.8837209302325582
[9001], Coverage : 0.8837209302325582
[9018], Coverage : 0.8837209302325582
[9089], Coverage : 0.8837209302325582
[9124], Coverage : 0.8837209302325582
[9131], Coverage : 0.8837209302325582
[9151], Coverage : 0.8837209302325582
[9185], Coverage : 0.8837209302325582
[9202], Coverage : 0.8837209302325582
[9205], Coverage : 0.8837209302325582
[9207], Coverage : 0.8837209302325582
[9229], Coverage : 0.8837209302325582
[9232], Coverage : 0.8837209302325582
[9233], Coverage : 0.8837209302325582
[9267], Coverage : 0.8837209302325582
[9288], Coverage : 0.8837209302325582
[9289], Coverage : 0.8837209302325582
[9297], Coverage : 0.8837209302325582
[9326], Coverage : 0.8837209302325582
[9328], Coverage : 0.8837209302325582
[9387], Coverage : 0.8837209302325582
[9388], Coverage : 0.8837209302325582
[9418], Coverage : 0.8837209302325582
[9442], Coverage : 0.8837209302325582
[9505], Coverage : 0.8837209302325582
[9524], Coverage : 0.8837209302325582
[9528], Coverage : 0.8837209302325582
[9545], Coverage : 0.8837209302325582
[53], Coverage : 0.8604651162790697
[63], Coverage : 0.8604651162790697
[100], Coverage : 0.8604651162790697
[133], Coverage : 0.8604651162790697
[162], Coverage : 0.8604651162790697
[192], Coverage : 0.8604651162790697
[302], Coverage : 0.8604651162790697
[353], Coverage : 0.8604651162790697
[359], Coverage : 0.8604651162790697
[372], Coverage : 0.8604651162790697
[377], Coverage : 0.8604651162790697
[378], Coverage : 0.8604651162790697
[408], Coverage : 0.8604651162790697
[409], Coverage : 0.8604651162790697
[441], Coverage : 0.8604651162790697
[479], Coverage : 0.8604651162790697
[497], Coverage : 0.8604651162790697
[633], Coverage : 0.8604651162790697
[649], Coverage : 0.8604651162790697
[654], Coverage : 0.8604651162790697
[736], Coverage : 0.8604651162790697
[769], Coverage : 0.8604651162790697
[780], Coverage : 0.8604651162790697
[801], Coverage : 0.8604651162790697
[805], Coverage : 0.8604651162790697
[817], Coverage : 0.8604651162790697
[881], Coverage : 0.8604651162790697
[883], Coverage : 0.8604651162790697
[951], Coverage : 0.8604651162790697
[967], Coverage : 0.8604651162790697
[968], Coverage : 0.8604651162790697
[969], Coverage : 0.8604651162790697
[1009], Coverage : 0.8604651162790697
[1129], Coverage : 0.8604651162790697
[1132], Coverage : 0.8604651162790697
[1136], Coverage : 0.8604651162790697
[1137], Coverage : 0.8604651162790697
[1152], Coverage : 0.8604651162790697
[1154], Coverage : 0.8604651162790697
[1162], Coverage : 0.8604651162790697
[1168], Coverage : 0.8604651162790697
[1171], Coverage : 0.8604651162790697
[1178], Coverage : 0.8604651162790697
[1184], Coverage : 0.8604651162790697
[1200], Coverage : 0.8604651162790697
[1230], Coverage : 0.8604651162790697
[1232], Coverage : 0.8604651162790697
[1241], Coverage : 0.8604651162790697
[1300], Coverage : 0.8604651162790697
[1316], Coverage : 0.8604651162790697
[1328], Coverage : 0.8604651162790697
[1329], Coverage : 0.8604651162790697
[1368], Coverage : 0.8604651162790697
[1414], Coverage : 0.8604651162790697
[1444], Coverage : 0.8604651162790697
[1503], Coverage : 0.8604651162790697
[1636], Coverage : 0.8604651162790697
[1673], Coverage : 0.8604651162790697
[1695], Coverage : 0.8604651162790697
[1699], Coverage : 0.8604651162790697
[1709], Coverage : 0.8604651162790697
[1774], Coverage : 0.8604651162790697
[1839], Coverage : 0.8604651162790697
[1907], Coverage : 0.8604651162790697
[1934], Coverage : 0.8604651162790697
[1935], Coverage : 0.8604651162790697
[1941], Coverage : 0.8604651162790697
[1943], Coverage : 0.8604651162790697
[2023], Coverage : 0.8604651162790697
[2074], Coverage : 0.8604651162790697
[2087], Coverage : 0.8604651162790697
[2106], Coverage : 0.8604651162790697
[2112], Coverage : 0.8604651162790697
[2114], Coverage : 0.8604651162790697
[2120], Coverage : 0.8604651162790697
[2127], Coverage : 0.8604651162790697
[2136], Coverage : 0.8604651162790697
[2174], Coverage : 0.8604651162790697
[2183], Coverage : 0.8604651162790697
[2195], Coverage : 0.8604651162790697
[2220], Coverage : 0.8604651162790697
[2240], Coverage : 0.8604651162790697
[2264], Coverage : 0.8604651162790697
[2265], Coverage : 0.8604651162790697
[2297], Coverage : 0.8604651162790697
[2307], Coverage : 0.8604651162790697
[2314], Coverage : 0.8604651162790697
[2315], Coverage : 0.8604651162790697
[2316], Coverage : 0.8604651162790697
[2321], Coverage : 0.8604651162790697
[2322], Coverage : 0.8604651162790697
[2324], Coverage : 0.8604651162790697
[2349], Coverage : 0.8604651162790697
[2354], Coverage : 0.8604651162790697
[2460], Coverage : 0.8604651162790697
[2513], Coverage : 0.8604651162790697
[2524], Coverage : 0.8604651162790697
[2536], Coverage : 0.8604651162790697
[2569], Coverage : 0.8604651162790697
[2570], Coverage : 0.8604651162790697
[2571], Coverage : 0.8604651162790697
[2572], Coverage : 0.8604651162790697
[2576], Coverage : 0.8604651162790697
[2582], Coverage : 0.8604651162790697
[2637], Coverage : 0.8604651162790697
[2640], Coverage : 0.8604651162790697
[2690], Coverage : 0.8604651162790697
[2749], Coverage : 0.8604651162790697
[2750], Coverage : 0.8604651162790697
[2751], Coverage : 0.8604651162790697
[2752], Coverage : 0.8604651162790697
[2761], Coverage : 0.8604651162790697
[2770], Coverage : 0.8604651162790697
[2827], Coverage : 0.8604651162790697
[2829], Coverage : 0.8604651162790697
[2869], Coverage : 0.8604651162790697
[2879], Coverage : 0.8604651162790697
[2922], Coverage : 0.8604651162790697
[2975], Coverage : 0.8604651162790697
[3010], Coverage : 0.8604651162790697
[3033], Coverage : 0.8604651162790697
[3045], Coverage : 0.8604651162790697
[3081], Coverage : 0.8604651162790697
[3085], Coverage : 0.8604651162790697
[3086], Coverage : 0.8604651162790697
[3102], Coverage : 0.8604651162790697
[3115], Coverage : 0.8604651162790697
[3128], Coverage : 0.8604651162790697
[3156], Coverage : 0.8604651162790697
[3165], Coverage : 0.8604651162790697
[3174], Coverage : 0.8604651162790697
[3183], Coverage : 0.8604651162790697
[3186], Coverage : 0.8604651162790697
[3187], Coverage : 0.8604651162790697
[3212], Coverage : 0.8604651162790697
[3229], Coverage : 0.8604651162790697
[3230], Coverage : 0.8604651162790697
[3237], Coverage : 0.8604651162790697
[3241], Coverage : 0.8604651162790697
[3265], Coverage : 0.8604651162790697
[3266], Coverage : 0.8604651162790697
[3272], Coverage : 0.8604651162790697
[3275], Coverage : 0.8604651162790697
[3298], Coverage : 0.8604651162790697
[3301], Coverage : 0.8604651162790697
[3308], Coverage : 0.8604651162790697
[3321], Coverage : 0.8604651162790697
[3364], Coverage : 0.8604651162790697
[3394], Coverage : 0.8604651162790697
[3420], Coverage : 0.8604651162790697
[3428], Coverage : 0.8604651162790697
[3460], Coverage : 0.8604651162790697
[3487], Coverage : 0.8604651162790697
[3519], Coverage : 0.8604651162790697
[3576], Coverage : 0.8604651162790697
[3581], Coverage : 0.8604651162790697
[3641], Coverage : 0.8604651162790697
[3732], Coverage : 0.8604651162790697
[3742], Coverage : 0.8604651162790697
[3749], Coverage : 0.8604651162790697
[3759], Coverage : 0.8604651162790697
[3760], Coverage : 0.8604651162790697
[3761], Coverage : 0.8604651162790697
[3762], Coverage : 0.8604651162790697
[3838], Coverage : 0.8604651162790697
[3853], Coverage : 0.8604651162790697
[3863], Coverage : 0.8604651162790697
[3870], Coverage : 0.8604651162790697
[3900], Coverage : 0.8604651162790697
[3901], Coverage : 0.8604651162790697
[3902], Coverage : 0.8604651162790697
[3923], Coverage : 0.8604651162790697
[3949], Coverage : 0.8604651162790697
[3952], Coverage : 0.8604651162790697
[3955], Coverage : 0.8604651162790697
[3956], Coverage : 0.8604651162790697
[3991], Coverage : 0.8604651162790697
[3997], Coverage : 0.8604651162790697
[4007], Coverage : 0.8604651162790697
[4008], Coverage : 0.8604651162790697
[4050], Coverage : 0.8604651162790697
[4057], Coverage : 0.8604651162790697
[4058], Coverage : 0.8604651162790697
[4063], Coverage : 0.8604651162790697
[4072], Coverage : 0.8604651162790697
[4115], Coverage : 0.8604651162790697
[4118], Coverage : 0.8604651162790697
[4119], Coverage : 0.8604651162790697
[4120], Coverage : 0.8604651162790697
[4240], Coverage : 0.8604651162790697
[4266], Coverage : 0.8604651162790697
[4268], Coverage : 0.8604651162790697
[4292], Coverage : 0.8604651162790697
[4316], Coverage : 0.8604651162790697
[4317], Coverage : 0.8604651162790697
[4318], Coverage : 0.8604651162790697
[4364], Coverage : 0.8604651162790697
[4397], Coverage : 0.8604651162790697
[4398], Coverage : 0.8604651162790697
[4399], Coverage : 0.8604651162790697
[4422], Coverage : 0.8604651162790697
[4441], Coverage : 0.8604651162790697
[4482], Coverage : 0.8604651162790697
[4590], Coverage : 0.8604651162790697
[4714], Coverage : 0.8604651162790697
[4752], Coverage : 0.8604651162790697
[4753], Coverage : 0.8604651162790697
[4779], Coverage : 0.8604651162790697
[4781], Coverage : 0.8604651162790697
[4783], Coverage : 0.8604651162790697
[4828], Coverage : 0.8604651162790697
[4829], Coverage : 0.8604651162790697
[4833], Coverage : 0.8604651162790697
[4877], Coverage : 0.8604651162790697
[4884], Coverage : 0.8604651162790697
[4886], Coverage : 0.8604651162790697
[4915], Coverage : 0.8604651162790697
[4947], Coverage : 0.8604651162790697
[4996], Coverage : 0.8604651162790697
[5032], Coverage : 0.8604651162790697
[5037], Coverage : 0.8604651162790697
[5075], Coverage : 0.8604651162790697
[5076], Coverage : 0.8604651162790697
[5079], Coverage : 0.8604651162790697
[5124], Coverage : 0.8604651162790697
[5148], Coverage : 0.8604651162790697
[5170], Coverage : 0.8604651162790697
[5173], Coverage : 0.8604651162790697
[5174], Coverage : 0.8604651162790697
[5202], Coverage : 0.8604651162790697
[5239], Coverage : 0.8604651162790697
[5265], Coverage : 0.8604651162790697
[5279], Coverage : 0.8604651162790697
[5280], Coverage : 0.8604651162790697
[5282], Coverage : 0.8604651162790697
[5285], Coverage : 0.8604651162790697
[5292], Coverage : 0.8604651162790697
[5303], Coverage : 0.8604651162790697
[5304], Coverage : 0.8604651162790697
[5327], Coverage : 0.8604651162790697
[5347], Coverage : 0.8604651162790697
[5404], Coverage : 0.8604651162790697
[5412], Coverage : 0.8604651162790697
[5421], Coverage : 0.8604651162790697
[5445], Coverage : 0.8604651162790697
[5473], Coverage : 0.8604651162790697
[5494], Coverage : 0.8604651162790697
[5501], Coverage : 0.8604651162790697
[5504], Coverage : 0.8604651162790697
[5541], Coverage : 0.8604651162790697
[5551], Coverage : 0.8604651162790697
[5587], Coverage : 0.8604651162790697
[5589], Coverage : 0.8604651162790697
[5690], Coverage : 0.8604651162790697
[5762], Coverage : 0.8604651162790697
[5780], Coverage : 0.8604651162790697
[5781], Coverage : 0.8604651162790697
[5785], Coverage : 0.8604651162790697
[5821], Coverage : 0.8604651162790697
[5852], Coverage : 0.8604651162790697
[5878], Coverage : 0.8604651162790697
[5915], Coverage : 0.8604651162790697
[5945], Coverage : 0.8604651162790697
[5958], Coverage : 0.8604651162790697
[5991], Coverage : 0.8604651162790697
[5992], Coverage : 0.8604651162790697
[5994], Coverage : 0.8604651162790697
[6007], Coverage : 0.8604651162790697
[6013], Coverage : 0.8604651162790697
[6040], Coverage : 0.8604651162790697
[6070], Coverage : 0.8604651162790697
[6071], Coverage : 0.8604651162790697
[6239], Coverage : 0.8604651162790697
[6253], Coverage : 0.8604651162790697
[6283], Coverage : 0.8604651162790697
[6327], Coverage : 0.8604651162790697
[6350], Coverage : 0.8604651162790697
[6356], Coverage : 0.8604651162790697
[6359], Coverage : 0.8604651162790697
[6389], Coverage : 0.8604651162790697
[6423], Coverage : 0.8604651162790697
[6479], Coverage : 0.8604651162790697
[6482], Coverage : 0.8604651162790697
[6483], Coverage : 0.8604651162790697
[6485], Coverage : 0.8604651162790697
[6495], Coverage : 0.8604651162790697
[6500], Coverage : 0.8604651162790697
[6502], Coverage : 0.8604651162790697
[6503], Coverage : 0.8604651162790697
[6513], Coverage : 0.8604651162790697
[6515], Coverage : 0.8604651162790697
[6521], Coverage : 0.8604651162790697
[6547], Coverage : 0.8604651162790697
[6573], Coverage : 0.8604651162790697
[6574], Coverage : 0.8604651162790697
[6683], Coverage : 0.8604651162790697
[6684], Coverage : 0.8604651162790697
[6759], Coverage : 0.8604651162790697
[6769], Coverage : 0.8604651162790697
[6780], Coverage : 0.8604651162790697
[6781], Coverage : 0.8604651162790697
[6784], Coverage : 0.8604651162790697
[6861], Coverage : 0.8604651162790697
[6868], Coverage : 0.8604651162790697
[6879], Coverage : 0.8604651162790697
[6909], Coverage : 0.8604651162790697
[6916], Coverage : 0.8604651162790697
[6918], Coverage : 0.8604651162790697
[6941], Coverage : 0.8604651162790697
[6944], Coverage : 0.8604651162790697
[6950], Coverage : 0.8604651162790697
[6962], Coverage : 0.8604651162790697
[6981], Coverage : 0.8604651162790697
[6987], Coverage : 0.8604651162790697
[7015], Coverage : 0.8604651162790697
[7020], Coverage : 0.8604651162790697
[7033], Coverage : 0.8604651162790697
[7041], Coverage : 0.8604651162790697
[7044], Coverage : 0.8604651162790697
[7072], Coverage : 0.8604651162790697
[7091], Coverage : 0.8604651162790697
[7093], Coverage : 0.8604651162790697
[7094], Coverage : 0.8604651162790697
[7177], Coverage : 0.8604651162790697
[7254], Coverage : 0.8604651162790697
[7316], Coverage : 0.8604651162790697
[7322], Coverage : 0.8604651162790697
[7338], Coverage : 0.8604651162790697
[7360], Coverage : 0.8604651162790697
[7361], Coverage : 0.8604651162790697
[7368], Coverage : 0.8604651162790697
[7377], Coverage : 0.8604651162790697
[7423], Coverage : 0.8604651162790697
[7449], Coverage : 0.8604651162790697
[7482], Coverage : 0.8604651162790697
[7522], Coverage : 0.8604651162790697
[7530], Coverage : 0.8604651162790697
[7554], Coverage : 0.8604651162790697
[7584], Coverage : 0.8604651162790697
[7590], Coverage : 0.8604651162790697
[7593], Coverage : 0.8604651162790697
[7597], Coverage : 0.8604651162790697
[7600], Coverage : 0.8604651162790697
[7617], Coverage : 0.8604651162790697
[7624], Coverage : 0.8604651162790697
[7627], Coverage : 0.8604651162790697
[7628], Coverage : 0.8604651162790697
[7630], Coverage : 0.8604651162790697
[7631], Coverage : 0.8604651162790697
[7678], Coverage : 0.8604651162790697
[7696], Coverage : 0.8604651162790697
[7708], Coverage : 0.8604651162790697
[7725], Coverage : 0.8604651162790697
[7757], Coverage : 0.8604651162790697
[7767], Coverage : 0.8604651162790697
[7781], Coverage : 0.8604651162790697
[7782], Coverage : 0.8604651162790697
[7783], Coverage : 0.8604651162790697
[7801], Coverage : 0.8604651162790697
[7808], Coverage : 0.8604651162790697
[7852], Coverage : 0.8604651162790697
[7853], Coverage : 0.8604651162790697
[7863], Coverage : 0.8604651162790697
[7907], Coverage : 0.8604651162790697
[7912], Coverage : 0.8604651162790697
[7936], Coverage : 0.8604651162790697
[8027], Coverage : 0.8604651162790697
[8032], Coverage : 0.8604651162790697
[8036], Coverage : 0.8604651162790697
[8039], Coverage : 0.8604651162790697
[8079], Coverage : 0.8604651162790697
[8206], Coverage : 0.8604651162790697
[8262], Coverage : 0.8604651162790697
[8317], Coverage : 0.8604651162790697
[8319], Coverage : 0.8604651162790697
[8353], Coverage : 0.8604651162790697
[8354], Coverage : 0.8604651162790697
[8358], Coverage : 0.8604651162790697
[8390], Coverage : 0.8604651162790697
[8444], Coverage : 0.8604651162790697
[8482], Coverage : 0.8604651162790697
[8511], Coverage : 0.8604651162790697
[8532], Coverage : 0.8604651162790697
[8533], Coverage : 0.8604651162790697
[8545], Coverage : 0.8604651162790697
[8566], Coverage : 0.8604651162790697
[8578], Coverage : 0.8604651162790697
[8581], Coverage : 0.8604651162790697
[8700], Coverage : 0.8604651162790697
[8702], Coverage : 0.8604651162790697
[8765], Coverage : 0.8604651162790697
[8805], Coverage : 0.8604651162790697
[8867], Coverage : 0.8604651162790697
[8881], Coverage : 0.8604651162790697
[8967], Coverage : 0.8604651162790697
[9006], Coverage : 0.8604651162790697
[9012], Coverage : 0.8604651162790697
[9073], Coverage : 0.8604651162790697
[9077], Coverage : 0.8604651162790697
[9090], Coverage : 0.8604651162790697
[9114], Coverage : 0.8604651162790697
[9117], Coverage : 0.8604651162790697
[9127], Coverage : 0.8604651162790697
[9200], Coverage : 0.8604651162790697
[9217], Coverage : 0.8604651162790697
[9260], Coverage : 0.8604651162790697
[9264], Coverage : 0.8604651162790697
[9280], Coverage : 0.8604651162790697
[9312], Coverage : 0.8604651162790697
[9342], Coverage : 0.8604651162790697
[9372], Coverage : 0.8604651162790697
[9412], Coverage : 0.8604651162790697
[9449], Coverage : 0.8604651162790697
[9455], Coverage : 0.8604651162790697
[14], Coverage : 0.8372093023255814
[15], Coverage : 0.8372093023255814
[20], Coverage : 0.8372093023255814
[30], Coverage : 0.8372093023255814
[74], Coverage : 0.8372093023255814
[119], Coverage : 0.8372093023255814
[120], Coverage : 0.8372093023255814
[166], Coverage : 0.8372093023255814
[176], Coverage : 0.8372093023255814
[178], Coverage : 0.8372093023255814
[179], Coverage : 0.8372093023255814
[180], Coverage : 0.8372093023255814
[216], Coverage : 0.8372093023255814
[221], Coverage : 0.8372093023255814
[237], Coverage : 0.8372093023255814
[241], Coverage : 0.8372093023255814
[242], Coverage : 0.8372093023255814
[244], Coverage : 0.8372093023255814
[254], Coverage : 0.8372093023255814
[257], Coverage : 0.8372093023255814
[293], Coverage : 0.8372093023255814
[295], Coverage : 0.8372093023255814
[303], Coverage : 0.8372093023255814
[312], Coverage : 0.8372093023255814
[323], Coverage : 0.8372093023255814
[332], Coverage : 0.8372093023255814
[339], Coverage : 0.8372093023255814
[340], Coverage : 0.8372093023255814
[345], Coverage : 0.8372093023255814
[352], Coverage : 0.8372093023255814
[374], Coverage : 0.8372093023255814
[385], Coverage : 0.8372093023255814
[398], Coverage : 0.8372093023255814
[425], Coverage : 0.8372093023255814
[489], Coverage : 0.8372093023255814
[496], Coverage : 0.8372093023255814
[573], Coverage : 0.8372093023255814
[603], Coverage : 0.8372093023255814
[609], Coverage : 0.8372093023255814
[650], Coverage : 0.8372093023255814
[660], Coverage : 0.8372093023255814
[667], Coverage : 0.8372093023255814
[684], Coverage : 0.8372093023255814
[704], Coverage : 0.8372093023255814
[733], Coverage : 0.8372093023255814
[742], Coverage : 0.8372093023255814
[745], Coverage : 0.8372093023255814
[755], Coverage : 0.8372093023255814
[766], Coverage : 0.8372093023255814
[804], Coverage : 0.8372093023255814
[840], Coverage : 0.8372093023255814
[841], Coverage : 0.8372093023255814
[848], Coverage : 0.8372093023255814
[856], Coverage : 0.8372093023255814
[857], Coverage : 0.8372093023255814
[875], Coverage : 0.8372093023255814
[888], Coverage : 0.8372093023255814
[889], Coverage : 0.8372093023255814
[890], Coverage : 0.8372093023255814
[893], Coverage : 0.8372093023255814
[926], Coverage : 0.8372093023255814
[945], Coverage : 0.8372093023255814
[947], Coverage : 0.8372093023255814
[996], Coverage : 0.8372093023255814
[1000], Coverage : 0.8372093023255814
[1002], Coverage : 0.8372093023255814
[1031], Coverage : 0.8372093023255814
[1041], Coverage : 0.8372093023255814
[1053], Coverage : 0.8372093023255814
[1060], Coverage : 0.8372093023255814
[1064], Coverage : 0.8372093023255814
[1065], Coverage : 0.8372093023255814
[1067], Coverage : 0.8372093023255814
[1077], Coverage : 0.8372093023255814
[1100], Coverage : 0.8372093023255814
[1105], Coverage : 0.8372093023255814
[1110], Coverage : 0.8372093023255814
[1149], Coverage : 0.8372093023255814
[1150], Coverage : 0.8372093023255814
[1213], Coverage : 0.8372093023255814
[1214], Coverage : 0.8372093023255814
[1217], Coverage : 0.8372093023255814
[1222], Coverage : 0.8372093023255814
[1255], Coverage : 0.8372093023255814
[1256], Coverage : 0.8372093023255814
[1258], Coverage : 0.8372093023255814
[1263], Coverage : 0.8372093023255814
[1270], Coverage : 0.8372093023255814
[1326], Coverage : 0.8372093023255814
[1336], Coverage : 0.8372093023255814
[1341], Coverage : 0.8372093023255814
[1369], Coverage : 0.8372093023255814
[1371], Coverage : 0.8372093023255814
[1372], Coverage : 0.8372093023255814
[1395], Coverage : 0.8372093023255814
[1397], Coverage : 0.8372093023255814
[1398], Coverage : 0.8372093023255814
[1399], Coverage : 0.8372093023255814
[1424], Coverage : 0.8372093023255814
[1425], Coverage : 0.8372093023255814
[1429], Coverage : 0.8372093023255814
[1432], Coverage : 0.8372093023255814
[1448], Coverage : 0.8372093023255814
[1470], Coverage : 0.8372093023255814
[1473], Coverage : 0.8372093023255814
[1513], Coverage : 0.8372093023255814
[1518], Coverage : 0.8372093023255814
[1524], Coverage : 0.8372093023255814
[1527], Coverage : 0.8372093023255814
[1540], Coverage : 0.8372093023255814
[1546], Coverage : 0.8372093023255814
[1560], Coverage : 0.8372093023255814
[1592], Coverage : 0.8372093023255814
[1652], Coverage : 0.8372093023255814
[1683], Coverage : 0.8372093023255814
[1747], Coverage : 0.8372093023255814
[1799], Coverage : 0.8372093023255814
[1815], Coverage : 0.8372093023255814
[1828], Coverage : 0.8372093023255814
[1882], Coverage : 0.8372093023255814
[1904], Coverage : 0.8372093023255814
[1905], Coverage : 0.8372093023255814
[1916], Coverage : 0.8372093023255814
[1990], Coverage : 0.8372093023255814
[1991], Coverage : 0.8372093023255814
[1992], Coverage : 0.8372093023255814
[1995], Coverage : 0.8372093023255814
[2039], Coverage : 0.8372093023255814
[2040], Coverage : 0.8372093023255814
[2044], Coverage : 0.8372093023255814
[2053], Coverage : 0.8372093023255814
[2058], Coverage : 0.8372093023255814
[2063], Coverage : 0.8372093023255814
[2065], Coverage : 0.8372093023255814
[2089], Coverage : 0.8372093023255814
[2094], Coverage : 0.8372093023255814
[2095], Coverage : 0.8372093023255814
[2098], Coverage : 0.8372093023255814
[2108], Coverage : 0.8372093023255814
[2130], Coverage : 0.8372093023255814
[2133], Coverage : 0.8372093023255814
[2159], Coverage : 0.8372093023255814
[2166], Coverage : 0.8372093023255814
[2172], Coverage : 0.8372093023255814
[2173], Coverage : 0.8372093023255814
[2176], Coverage : 0.8372093023255814
[2186], Coverage : 0.8372093023255814
[2191], Coverage : 0.8372093023255814
